Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
13T&I0047,SG,,Granted,13T&I0047-SG-PCT,11201606523T,8/5/2016,12,12/10/2025,581,
13T&I0047,US,A,Granted,13T&I0047-US-PCT,15/120172,8/19/2016,8,5/20/2026,4047,
13T&I0048,CN,,Granted,13T&I0048-CN-PCT,201480076321.8,8/25/2016,11,12/10/2024,581,11/16/2024
13T&I0048,CN,,Granted,13T&I0048-CN-PCT,201480076321.8,8/25/2016,12,12/10/2025,582,
13T&I0048,DE,,Granted,13T&I0048-DE-EPT,14809435.2,12/10/2014,11,12/10/2024,637,12/22/2024
13T&I0048,DE,,Granted,13T&I0048-DE-EPT,14809435.2,12/10/2014,12,12/10/2025,856,
13T&I0048,FR,,Granted,13T&I0048-FR-EPT,14809435.2,12/10/2014,11,12/10/2024,311,12/24/2024
13T&I0048,FR,,Granted,13T&I0048-FR-EPT,14809435.2,12/10/2014,12,12/10/2025,382,
13T&I0048,GC,,Granted,13T&I0048-GC-NP,2014/28538,12/14/2014,12,3/1/2025,1699,2/16/2025
13T&I0048,GC,,Granted,13T&I0048-GC-NP,2014/28538,12/14/2014,13,3/1/2026,1753,
13T&I0048,IN,,Granted,13T&I0048-IN-PCT,201617027111,8/9/2016,11,12/10/2024,396,11/29/2024
13T&I0048,IN,,Granted,13T&I0048-IN-PCT,201617027111,8/9/2016,12,12/10/2025,343,
13T&I0048,KR,,Granted,13T&I0048-KR-PCT,20167025504,9/13/2016,4,3/14/2025,268,2/16/2025
13T&I0048,KR,,Granted,13T&I0048-KR-PCT,20167025504,9/13/2016,5,3/14/2026,271,
13T&I0048,NL,,Granted,13T&I0048-NL-EPT,14809435.2,12/10/2014,11,12/10/2024,591,12/26/2024
13T&I0048,NL,,Granted,13T&I0048-NL-EPT,14809435.2,12/10/2014,12,12/10/2025,756,
13T&I0048,SG,,Granted,13T&I0048-SG-PCT,11201606522W,8/5/2016,11,12/10/2024,554,11/16/2024
